candidate_id,response_delay_hours,number_of_active_offers,past_job_switches,avg_tenure_months,notice_period_days,salary_expectation_lpa,salary_offered_lpa,salary_hike_percent,interview_sentiment,communication_score,technical_score,background_verified,joined
81,47.724709719797346,0,5,45,30,20.185300921437882,21.12913056590318,4.675826474614992,0.701775770487553,96,80,1,1
82,23.431228601096976,2,1,29,90,6.317030250329262,7.577336715131491,19.95093287287231,0.1760877582692022,32,56,1,0
83,9.643651230031224,0,1,37,0,4.57718909141679,5.720153535493328,24.970881063660674,0.9721832752385928,41,80,1,1
84,1.5760335793147893,0,2,38,60,9.747605835293328,12.21525243854373,25.315412265807375,0.615265367970973,52,53,1,1
85,8.939720409848489,3,2,43,30,9.65626346028319,9.57012462081779,-0.8920514629669616,0.16434060122826777,40,76,1,1
86,9.439541116419152,1,2,39,30,21.20569400928626,26.68447463078291,25.83636554925964,0.02052251171251529,81,93,1,1
87,31.389018814985782,1,2,16,60,18.92401216479954,19.617018814930894,3.662049274204197,0.7832641987897759,79,41,1,1
88,24.35734461422448,0,1,36,60,24.6137979739723,25.197712732597516,2.372306619411896,0.07970473944545908,86,63,1,1
89,52.37404589763635,2,4,23,30,18.941770906548186,22.554012513566796,19.070242295929447,0.14105092107023653,93,54,1,1
90,15.337587201031436,1,4,28,60,12.783366618377006,13.063047965579592,2.1878536034515723,0.5748300268556906,75,87,1,1
91,3.0569374467720456,0,2,27,15,18.677480879849554,17.205444403084485,-7.881343775611599,0.6035055034496197,58,90,1,1
92,29.979032263598384,0,3,23,60,24.988640410914442,26.224256435178678,4.944710892412329,0.6868871185923985,99,72,0,1
93,34.329426073844736,0,0,45,0,18.91297953381309,22.47970723400283,18.85862401433395,0.39351401266362074,75,94,0,1
94,19.77329987725989,1,5,46,0,19.995308475586683,20.610831416825093,3.078336810807067,0.7738986689668229,45,51,1,1
95,35.37335920131275,2,3,44,15,23.705665318995447,27.304745299081368,15.182362239805874,0.9743585996158887,80,58,1,1
96,16.33955355624667,1,5,25,60,6.38667648754535,7.434396572249551,16.40477777052523,0.271094943079883,40,91,1,1
97,17.75229213065441,1,3,18,0,18.800470162402263,22.438255944378596,19.349440469054255,0.7030286165379459,40,86,1,0
98,13.387540653802256,0,3,6,90,21.866925117316427,27.527226496498553,25.88521865243747,0.9284686523951569,92,44,1,1
99,0.6179465757627295,0,4,9,60,24.041950604638753,25.79763327406765,7.3025799707372645,0.6862867626170427,82,40,1,1
100,2.74001844460478,0,0,29,15,8.430355083945686,8.148552177000312,-3.342716933501709,0.6811094986442595,87,82,1,1
101,0.7664083510332917,0,3,41,60,14.582509162209128,14.984553112928067,2.75702861727558,0.2237725690852066,48,98,1,0
102,24.281509222261185,3,2,41,30,18.29165180053412,19.624507800974758,7.286690206959437,0.5351302003196929,61,48,1,1
103,9.057521011082397,0,5,7,30,9.196822319528087,10.903353287110274,18.555658773124524,0.5625228436045802,79,78,1,1
104,17.05049225122056,0,4,33,0,16.609930128255755,15.036120150915352,-9.475114977534659,0.7001295624559528,84,73,1,1
105,57.15037271630341,0,5,31,30,9.409154432457987,9.656748365331701,2.6314153375951617,0.9968214498961826,70,68,1,0
106,6.88173175159916,0,2,28,15,11.002597431164592,13.334455279502492,21.19370324077267,0.03364382254376208,99,88,1,1
107,12.678767397184142,1,2,20,0,13.271892626728166,15.506123926622728,16.83430813322781,0.06523266126748684,50,87,1,0
108,33.809979540926,0,3,41,15,15.112992073677907,18.02520503462713,19.269598943424224,0.07795006943091876,55,87,1,1
109,6.235323766017457,0,2,32,15,13.436683304128163,16.456232658449373,22.47243077756779,0.7429791344889568,30,85,1,0
110,1.9225026852042326,2,0,11,30,14.357105915546512,17.41939459309991,21.329428755118503,0.13635379511075751,56,98,1,1
111,8.21136729328937,2,2,40,30,10.270363882054145,12.045835234089063,17.287326646111115,0.6224518744903452,79,41,1,0
112,4.219400604001509,0,3,44,15,7.338266974475243,7.894981758204632,7.58646129482363,0.32466887789345844,95,58,1,1
113,63.718802061134994,2,5,43,30,4.994349523863628,6.459888109679532,29.343933155126162,0.457319956210711,94,67,0,1
114,39.62128993162967,0,2,40,30,8.115553172325022,9.151335366194985,12.76292782360296,0.2156631598174139,39,74,1,1
115,24.083860572492746,0,4,41,30,16.220816471621443,15.914367676966387,-1.8892316252464398,0.8661065613045421,66,79,1,1
116,49.23647353249952,1,4,15,60,20.508424403865778,20.859634084837833,1.7125142041913888,0.5861503241630264,98,92,1,0
117,39.07125457777335,0,4,35,15,7.554199546300785,8.894503267760058,17.742498238818783,0.9445632635822526,70,96,1,0
118,4.955891432607338,3,5,46,90,6.279662513225618,7.974517214734908,26.98958260797855,0.5745962497043295,75,90,1,1
119,53.539521725653465,1,1,43,15,19.735097571534254,19.17241148953107,-2.8511948317640936,0.12390803059694666,74,87,1,1
120,18.602397647188127,1,4,34,0,10.408324941283084,9.710328081354028,-6.706140170168538,0.17087043383847544,56,61,1,1
121,39.53635899128559,1,4,44,30,23.981488223774402,30.039509980401313,25.261241921680245,0.9890739763678472,94,43,1,1
122,54.34182358286955,1,1,9,30,19.000677382817834,24.056970281704174,26.611119156513375,0.7255651973308678,37,47,1,1
123,9.185537194039643,0,5,10,90,10.861876992103648,10.976488673685058,1.0551738126359766,0.04927875002908966,96,99,1,1
124,2.79821184297242,0,4,9,0,10.080397703667803,10.59363399313242,5.091428974849605,0.7037810050346648,78,40,1,1
125,6.208481907345153,0,3,41,60,14.99766611169749,17.45841116349696,16.407519899914323,0.41217304680961164,43,75,1,1
126,13.369384625966745,2,5,21,15,5.662038033842398,5.8430647610647615,3.197200833698995,0.3072083868231905,91,46,1,0
127,40.89191343933468,0,4,30,60,6.471206765551279,8.094596235963905,25.08634833080211,0.15406079373053427,72,64,1,1
128,47.312279325115995,0,4,19,0,7.693015507640043,7.254755808183856,-5.696851891445491,0.8399039545565656,56,68,1,1
129,0.16743382035961552,0,1,16,90,20.269195459395764,18.55022353770585,-8.480711161592188,0.0638413789891007,56,40,0,1
130,17.157027824125336,0,3,34,0,14.791004544651571,14.545392262758321,-1.6605517302884139,0.2898354623796403,97,95,1,1
131,12.966559702048112,1,5,39,90,4.221909578263301,4.2828533128480215,1.443511128198761,0.3063828938257044,77,57,1,1
132,6.028016118619788,0,2,27,60,18.14384707691429,17.149031490527882,-5.482936348444997,0.16090528396350035,96,43,1,1
133,3.0643293970955234,0,0,19,60,12.897493751870439,11.946641137474867,-7.372382826374125,0.5081848832868703,54,59,1,1
134,9.885805916698379,0,3,29,0,14.727899664239757,17.706515533807824,20.224308540071934,0.011702626810892625,93,85,1,1
135,68.7149069445876,1,2,44,0,8.496441111671647,8.205103467790954,-3.4289373639096925,0.3009755154104091,53,47,0,1
136,9.369211269155386,0,3,31,30,15.587426796276176,19.726962266823662,26.556887962652166,0.933629444033064,38,66,1,0
137,17.554867338243646,0,2,41,90,24.56221803478126,25.721551399788662,4.719986457923839,0.3105295693420057,37,89,1,0
138,29.138087445140517,0,2,44,30,5.54233851112099,6.474794422008927,16.82423238885383,0.3604593871067516,88,78,1,0
139,10.847387975207097,0,3,21,15,9.962265392953043,9.864245128641599,-0.9839154092479803,0.4731650482340716,46,74,1,1
140,85.62715531900079,0,1,43,15,9.102949450077425,9.067712910383332,-0.38708926032532825,0.5616933748514747,72,64,1,1
141,78.76823674899356,2,3,37,0,9.219535525774772,10.417002738328218,12.988368114703006,0.808708644820744,97,92,1,0
142,6.961471079812927,0,3,11,60,11.952833508872924,13.438058774864624,12.425717005839452,0.19032122315601763,33,53,0,1
143,16.503822683132334,0,2,39,15,21.180305479627517,25.575042883830413,20.74916912048326,0.8717463771925572,37,83,1,1
144,8.590331041897123,1,0,13,15,23.170032489252133,27.8764528058164,20.31253222777063,0.7575493571438894,71,86,1,1
145,8.045992233145961,1,2,35,30,8.24651683663844,9.634200330345108,16.827510586546435,0.7226503346615553,78,79,1,1
146,0.9020274663725407,1,4,32,30,15.401948696910368,16.62874820086168,7.965222635739637,0.08680457371463524,35,70,1,1
147,22.571809703582236,2,3,12,15,17.374878415475088,21.82729794334258,25.62561545122471,0.02164068997458468,71,44,1,1
148,16.764471187911322,0,5,32,0,14.958376961640743,17.187644763452408,14.903139608851934,0.594012700908084,61,56,0,1
149,1.2684260971294194,1,3,30,30,13.115604278135311,16.998864473406268,29.60793961849429,0.8631339625231612,44,96,1,1
150,7.839022104248865,0,1,46,15,8.031485623043995,9.860639825817987,22.774792717374357,0.5844414641406359,98,49,1,1
151,57.33266282614417,0,5,20,60,14.25260654318401,13.079958011098656,-8.227607550466951,0.21323486544553083,56,82,1,1
152,6.572653251409849,1,2,30,30,12.425511381937907,12.77637754030669,2.8237562832127163,0.09051989794921322,95,99,1,1
153,3.756740663651274,0,1,27,15,20.706830612547662,23.37284098825023,12.875028658838069,0.699596452817735,88,94,1,1
154,16.13453062736727,1,3,23,90,20.0356915424229,23.814178835399616,18.858781514859494,0.7217702773178095,57,55,1,0
155,101.85688758276623,1,2,17,30,6.813972305319085,7.632566136529644,12.013459910477662,0.17253170068710866,53,87,1,1
156,6.651475525433429,0,2,28,90,5.8589001038244195,7.115353938955263,21.445216898487278,0.028190315496536278,80,43,1,1
157,26.76372024713504,1,4,44,30,23.071232807777562,23.37259527467942,1.3062261102937869,0.408283513223197,50,94,1,0
158,34.41330302974711,1,4,30,30,15.245676168254452,14.842653982043037,-2.6435179506869857,0.5827187021330221,60,44,1,1
159,6.511996136059339,1,0,15,90,22.013819682934404,20.28720257658088,-7.8433326484091905,0.7060024095671912,79,81,1,1
160,31.265974283815588,0,4,35,0,5.221173531894424,5.896404398156227,12.932549782860892,0.8099450091529028,69,85,1,1
161,11.004547182343297,0,5,15,15,15.056827946954236,17.69839495512525,17.543980827019816,0.6105374273067323,97,80,1,1
162,24.01208994556251,1,2,39,0,15.327956806100964,15.794844636021915,3.0459886847744553,0.11088060859848503,45,89,1,1
163,24.092107851303318,3,4,18,0,22.07474268338515,25.285153613161878,14.543367394235071,0.6825816721424148,92,59,1,1
164,18.417245998856373,0,0,34,15,6.049809962823858,5.5710455004813815,-7.913710765866839,0.984176642894882,85,45,1,0
165,2.271099811478903,1,3,43,60,9.049356837194095,8.50383752235423,-6.0282661481278526,0.9055845845974039,53,50,1,1
166,43.287475061911124,0,5,46,0,12.537304591627276,14.802819463837679,18.07019089033994,0.8716689092695127,57,92,1,0
167,9.283447048017518,2,4,14,0,22.182670983818785,23.230311553415508,4.722788208691945,0.30217015335834085,60,56,1,0
168,4.954370558581357,0,2,18,0,23.716549616481906,27.713585397988613,16.85336124412023,0.7507881764540006,44,80,1,0
169,0.9991142350642849,0,3,42,60,24.847217011466185,30.628877377765527,23.268844811196736,0.8511034459651455,71,96,1,1
170,21.450681710270004,2,2,19,30,24.143063215628953,29.96272385688587,24.104897499044668,0.6783262046312631,79,42,1,1
171,27.164441622416373,0,3,42,90,4.1247768727314424,3.996360434356056,-3.113294181421951,0.2505617565679805,34,55,1,1
172,0.40144674140329484,1,5,14,90,5.001875170531313,5.474623545530905,9.451422894053868,0.9538339718749583,77,91,0,1
173,17.22313402918772,2,2,13,60,7.099743202309362,8.474045388919597,19.35706894529946,0.4508194114586759,42,75,1,0
174,6.163779529318983,1,4,44,0,11.326104032175735,13.699967529839936,20.95922385067643,0.1298055586658794,61,65,1,1
175,24.866984197144607,0,4,45,90,21.42827865072613,26.011153011889597,21.387039229155103,0.109777895057392,96,63,1,1
176,4.59850134093921,1,0,8,60,22.74578010204509,22.54713969755681,-0.8733066247766128,0.6475189872990458,59,93,1,0
177,28.18110066162526,2,3,45,15,7.923522532186244,7.741391865553496,-2.2986072910490587,0.43770964641673915,35,86,1,0
178,11.735008823546442,0,0,38,90,17.012947184013882,19.326792849872515,13.600498730947832,0.09448387517896362,54,73,1,1
179,66.24825162730338,0,1,37,15,23.264601686370806,27.834567877656145,19.643431909528804,0.7403645721560946,57,59,1,1
180,3.5506659225426946,0,4,12,0,13.738366454557736,14.118312054917471,2.7655806213677367,0.7993251672586197,91,56,1,1
181,10.011178415884121,0,3,24,90,6.174415011008463,5.81557074681215,-5.811793725503129,0.7254156307864513,51,90,1,1
182,2.890662840887914,0,5,39,60,13.614086651777123,16.15581693231366,18.669855316403098,0.2022608776840129,97,59,0,1
183,62.06856953161737,1,0,19,30,11.8916929480492,12.128089488431176,1.9879132552001773,0.6897754559960694,44,55,1,0
184,50.360008971863856,2,5,24,90,16.130817917386146,15.59116285129261,-3.3454910275311196,0.010722802894385097,55,95,1,0
185,7.159856881475734,0,5,31,90,13.211832372549177,12.671328533160024,-4.091058864114734,0.3051121396784092,92,90,1,1
186,25.89030573705395,1,5,22,90,4.364264463928077,4.477577436584276,2.5963819010686575,0.39882153140754373,47,92,1,1
187,40.787617743341315,0,0,33,90,24.873952401687095,28.283455561943377,13.70712263654983,0.8352469488855016,92,88,1,1
188,19.443176656476194,2,1,24,60,15.41434499234199,16.08272479440947,4.336089547752675,0.3903943730694043,91,43,1,1
189,18.102705844654707,0,0,32,60,13.9462458651768,12.666883383599837,-9.173525936262742,0.011269446189398291,97,57,1,1
190,6.6450490905096755,1,2,24,30,24.046964801585133,22.574409808496235,-6.123662612887555,0.3523464118280094,77,75,1,1
191,2.3454273713985776,3,4,38,60,7.273067719328619,7.390900863219924,1.6201298879447588,0.4989240983592872,79,92,1,1
192,54.602957404668544,0,0,12,60,7.973989653450213,9.280781374095447,16.38817928588367,0.9490047866727734,92,74,1,1
193,55.36258626356224,1,0,34,0,20.968309730318452,19.697756586723926,-6.059397061258641,0.9410343037895448,98,69,1,1
194,24.064078067589236,1,1,10,0,9.477452680525184,10.655146932098608,12.426274140027289,0.18087403822141157,35,93,1,1
195,9.937116235471773,0,2,35,15,20.783769232122065,19.7020644182691,-5.204565167039825,0.18514654173945155,87,99,1,1
196,10.309622779479454,4,0,13,30,9.702203141078552,9.553236784454512,-1.5353869060247307,0.1633814564645505,80,57,1,0
197,31.067170313450834,2,4,47,0,4.696940234725031,4.550749900466417,-3.1124588977694896,0.7889219324141032,41,60,1,0
198,54.57833637857405,1,4,17,30,14.857309201621035,13.771112931810384,-7.310854577167579,0.006022040368406367,76,91,1,1
199,52.34718166551872,1,0,47,30,8.13041511666409,9.50064964321659,16.853192695463605,0.12717719819187734,38,71,1,1
200,36.325492606341676,0,5,18,90,19.914772151581893,21.61472536059477,8.536141895441384,0.537959631644099,36,44,1,0
201,24.65545664562492,0,5,31,30,17.465192297875113,21.524476330120724,23.242137635893535,0.24756206688676552,58,80,1,1
202,2.1094014287060174,0,2,23,90,23.395656027536273,21.981536855382814,-6.044366400707318,0.09235645823926208,80,93,1,0
203,4.231061152401876,0,4,47,15,20.442755502580454,19.581975940083005,-4.2106826664770995,0.3598780123338343,84,62,0,1
204,54.91753200426014,0,5,25,15,7.796295051655264,7.972359504277343,2.2583092540180174,0.2742076050602448,88,69,1,0
205,22.37985472717415,0,4,21,15,20.803322969960725,25.096013664162953,20.634639477552337,0.5111043065142845,85,66,1,1
206,0.22175053466386582,2,2,42,90,17.476477941094487,17.86626507825527,2.230352926227956,0.9792335938301958,51,95,1,1
207,2.567925634462784,0,2,8,90,18.047984476973124,19.191639826492544,6.336748299947706,0.12430463681491843,47,54,1,0
208,26.139897294965785,1,5,32,15,21.477520605373122,21.92084726875636,2.064142651886596,0.3727267048340943,87,80,1,0
209,0.12178648924312807,2,0,20,90,16.050305452967745,14.96032466293279,-6.7910283279587995,0.9319850178724747,69,53,1,1
210,4.207579586500778,0,3,39,60,13.786073801413272,17.5879069239823,27.5773449158475,0.8768730434938226,60,60,0,0
211,19.09674830733436,1,1,27,60,17.36946174253329,19.443646383107275,11.941559682847554,0.3942710347842806,85,95,1,1
212,28.255566879715502,2,3,45,90,10.25710600812554,12.463750818488249,21.51332752741987,0.6989532645197365,64,73,1,0
213,25.33059557124597,0,3,28,90,7.834539752829086,9.114255701659244,16.33428368741186,0.08785701358134557,55,65,1,1
214,6.094796815392588,0,4,9,0,16.948344599496174,18.739813632869687,10.570171162479008,0.7125410555436151,97,64,1,1
215,29.890014933564935,1,2,46,0,8.910815750795031,8.339376744493226,-6.41286973362479,0.9728577294847415,63,89,1,1
216,6.499770217267342,1,4,28,30,5.678217296278741,6.570227860111826,15.709341810812177,0.5374881528341916,45,84,1,1
217,9.447237814034027,2,5,14,30,4.011637876290332,3.8597899305528616,-3.7851857625267127,0.49849022703441426,71,70,1,1
218,32.93658123997898,1,1,29,30,16.77470742940141,17.877699258309125,6.575326774251075,0.18731861970191033,34,99,1,1
219,25.170571543266433,0,5,26,15,11.605124453084972,13.364986537841235,15.164525739217222,0.6337881989072919,90,92,1,1
220,45.40694585912162,1,0,46,60,19.798530384142573,24.01347119901024,21.289160018884935,0.5904372807789149,73,87,1,1
221,25.723518916074298,0,1,21,15,11.878704364575151,13.945813575566087,17.401807028344766,0.6519330594757505,64,45,1,1
222,20.161063334094177,0,4,30,90,14.206072413002762,16.60140674830623,16.86134116218517,0.026083286684721818,30,87,1,0
223,2.3605694747618515,0,4,31,0,12.548784429123083,12.042025407722756,-4.038311632991691,0.5487234883490736,72,43,1,1
224,11.001991372968481,0,5,14,90,17.66207061329627,18.341202238375253,3.845141602863504,0.594934843497373,61,63,1,1
225,7.395843548611948,1,4,20,90,11.478922402314332,10.528064821272228,-8.283509093592238,0.20753013541280219,92,81,1,1
226,6.712804887898111,1,4,44,0,24.239120648788486,28.79100347099757,18.779075727058586,0.20833285748853603,62,70,1,1
227,86.69542574791022,1,3,38,90,23.65908671856913,30.30810378226506,28.103439252696788,0.2762181685109498,95,58,1,1
228,11.98529992896057,2,0,6,30,21.808585955802908,21.931677018639025,0.5644156071630345,0.7117215917272376,59,50,0,1
229,53.42532506996454,4,3,10,0,23.32630568202771,21.8119312119161,-6.492131633507629,0.6062660635323717,39,68,1,0
230,23.936025257675595,1,4,14,90,13.431933457647212,14.643870362043794,9.022803070146162,0.8457626461178046,52,44,1,0
231,38.01180606452159,0,2,11,30,15.265038332579334,18.969546985519376,24.267928925102748,0.2956585718430982,68,57,1,1
